Ligne	Composant	Colonne	Ancien	Nouveau	Preuve (commit + verification)
L141	OrigamMessages	C7	defaut	conforme	C1 defaut -> conforme : elevation desormais consommee via useElevation (OrigamMessages.vue:152, e9a17dea). C7 defaut -> conforme : active reste sans effet mais la doc l'assume desormais explicitement (#550, C1) au lieu d'inventer un comportement, et role=status (doc et template concordent, OrigamMessages.md ligne 5) -- plus de doc mensongere (690e915b).
L141	OrigamMessages	Gravite	majeur	aucun	C1 defaut -> conforme : elevation desormais consommee via useElevation (OrigamMessages.vue:152, e9a17dea). C7 defaut -> conforme : active reste sans effet mais la doc l'assume desormais explicitement (#550, C1) au lieu d'inventer un comportement, et role=status (doc et template concordent, OrigamMessages.md ligne 5) -- plus de doc mensongere (690e915b).
L141	OrigamMessages	Ticket	#429	#429 ; CORRIGE (e9a17dea 07/09 + 690e915b 10/09) — #550	C1 defaut -> conforme : elevation desormais consommee via useElevation (OrigamMessages.vue:152, e9a17dea). C7 defaut -> conforme : active reste sans effet mais la doc l'assume desormais explicitement (#550, C1) au lieu d'inventer un comportement, et role=status (doc et template concordent, OrigamMessages.md ligne 5) -- plus de doc mensongere (690e915b).
L141	OrigamMessages	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L163	OrigamResponsive	C1	defaut	conforme	C1/C2 defaut -> conforme : les tokens --origam-responsive---{flex,height,max-height,min-height,min-width,width}} etaient declares `inherit` (guaranteed-invalid pour une custom property, meme famille que #429) -- canal theme totalement mort, corrige en valeurs litterales reelles (8e4df642). e2e responsive.spec.ts cree (n'existait pas du tout), 8/8 verts, A/B confirme 0 pixel ne bouge et le canal theme redevient vivant.
L163	OrigamResponsive	C2	defaut	conforme	C1/C2 defaut -> conforme : les tokens --origam-responsive---{flex,height,max-height,min-height,min-width,width}} etaient declares `inherit` (guaranteed-invalid pour une custom property, meme famille que #429) -- canal theme totalement mort, corrige en valeurs litterales reelles (8e4df642). e2e responsive.spec.ts cree (n'existait pas du tout), 8/8 verts, A/B confirme 0 pixel ne bouge et le canal theme redevient vivant.
L163	OrigamResponsive	Gravite	majeur	aucun	C1/C2 defaut -> conforme : les tokens --origam-responsive---{flex,height,max-height,min-height,min-width,width}} etaient declares `inherit` (guaranteed-invalid pour une custom property, meme famille que #429) -- canal theme totalement mort, corrige en valeurs litterales reelles (8e4df642). e2e responsive.spec.ts cree (n'existait pas du tout), 8/8 verts, A/B confirme 0 pixel ne bouge et le canal theme redevient vivant.
L163	OrigamResponsive	Ticket	#454	#454 ; CORRIGE (8e4df642, #454) 10/09	C1/C2 defaut -> conforme : les tokens --origam-responsive---{flex,height,max-height,min-height,min-width,width}} etaient declares `inherit` (guaranteed-invalid pour une custom property, meme famille que #429) -- canal theme totalement mort, corrige en valeurs litterales reelles (8e4df642). e2e responsive.spec.ts cree (n'existait pas du tout), 8/8 verts, A/B confirme 0 pixel ne bouge et le canal theme redevient vivant.
L163	OrigamResponsive	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L114	OrigamIcon	C7	defaut	conforme	"C7 defaut -> conforme : le faux role=""img"" retire de OrigamIcon.md/OrigamSvgIcon.md (20123d8a, point 4). ⛔ C6 RESTE DEFAUT, NE PAS FLIP : le meme commit dit explicitement (point 3) que le manque d'aria-label en mode bouton ""n'est PAS corrige ici, hors perimetre"" -- seul un console.warn dev a ete ajoute. Le titre de la PR #635 ('Icon deja repare') etait donc PARTIELLEMENT FAUX : vrai pour C7, faux pour C6."
L114	OrigamIcon	Ticket	#427	#427 ; C7 CORRIGE (20123d8a, #427)	"C7 defaut -> conforme : le faux role=""img"" retire de OrigamIcon.md/OrigamSvgIcon.md (20123d8a, point 4). ⛔ C6 RESTE DEFAUT, NE PAS FLIP : le meme commit dit explicitement (point 3) que le manque d'aria-label en mode bouton ""n'est PAS corrige ici, hors perimetre"" -- seul un console.warn dev a ete ajoute. Le titre de la PR #635 ('Icon deja repare') etait donc PARTIELLEMENT FAUX : vrai pour C7, faux pour C6."
L114	OrigamIcon	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L115	OrigamLigatureIcon	C6	defaut	conforme	C6 defaut -> conforme : useIconAccessibility() ajoute un aria-hidden/role auto-suffisant (le leaf n'est jamais atteint par le dispatcher OrigamIcon, donc il protege desormais sa propre substitution visuelle). C7 defaut -> conforme : section Accessibility ajoutee a OrigamLigatureIcon.md (seul des 5 docs de la famille a en manquer).
L115	OrigamLigatureIcon	C7	defaut	conforme	C6 defaut -> conforme : useIconAccessibility() ajoute un aria-hidden/role auto-suffisant (le leaf n'est jamais atteint par le dispatcher OrigamIcon, donc il protege desormais sa propre substitution visuelle). C7 defaut -> conforme : section Accessibility ajoutee a OrigamLigatureIcon.md (seul des 5 docs de la famille a en manquer).
L115	OrigamLigatureIcon	Gravite	majeur	aucun	C6 defaut -> conforme : useIconAccessibility() ajoute un aria-hidden/role auto-suffisant (le leaf n'est jamais atteint par le dispatcher OrigamIcon, donc il protege desormais sa propre substitution visuelle). C7 defaut -> conforme : section Accessibility ajoutee a OrigamLigatureIcon.md (seul des 5 docs de la famille a en manquer).
L115	OrigamLigatureIcon	Ticket	#427	#427 ; CORRIGE (20123d8a, #427)	C6 defaut -> conforme : useIconAccessibility() ajoute un aria-hidden/role auto-suffisant (le leaf n'est jamais atteint par le dispatcher OrigamIcon, donc il protege desormais sa propre substitution visuelle). C7 defaut -> conforme : section Accessibility ajoutee a OrigamLigatureIcon.md (seul des 5 docs de la famille a en manquer).
L115	OrigamLigatureIcon	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L81	OrigamDataTableHeadersCellMobile	C1	defaut	conforme	C1/C3 defaut -> conforme : selectAll(!allSelected.value) -- le .value manquant est present dans le code actuel (grep confirme, OrigamDataTableHeadersCellMobile.vue:267), le select-all mobile fonctionne desormais. C4 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (anomalie de classeur), et le fichier est absent de la baseline setup-reads -- flip par prudence documentee, a recontroler si un signal contraire apparait.
L81	OrigamDataTableHeadersCellMobile	C3	defaut	conforme	C1/C3 defaut -> conforme : selectAll(!allSelected.value) -- le .value manquant est present dans le code actuel (grep confirme, OrigamDataTableHeadersCellMobile.vue:267), le select-all mobile fonctionne desormais. C4 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (anomalie de classeur), et le fichier est absent de la baseline setup-reads -- flip par prudence documentee, a recontroler si un signal contraire apparait.
L81	OrigamDataTableHeadersCellMobile	C4	defaut	conforme	C1/C3 defaut -> conforme : selectAll(!allSelected.value) -- le .value manquant est present dans le code actuel (grep confirme, OrigamDataTableHeadersCellMobile.vue:267), le select-all mobile fonctionne desormais. C4 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (anomalie de classeur), et le fichier est absent de la baseline setup-reads -- flip par prudence documentee, a recontroler si un signal contraire apparait.
L81	OrigamDataTableHeadersCellMobile	Gravite	majeur	aucun	C1/C3 defaut -> conforme : selectAll(!allSelected.value) -- le .value manquant est present dans le code actuel (grep confirme, OrigamDataTableHeadersCellMobile.vue:267), le select-all mobile fonctionne desormais. C4 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (anomalie de classeur), et le fichier est absent de la baseline setup-reads -- flip par prudence documentee, a recontroler si un signal contraire apparait.
L81	OrigamDataTableHeadersCellMobile	Ticket	#409	#409 ; CORRIGE (2c5663b9, #409)	C1/C3 defaut -> conforme : selectAll(!allSelected.value) -- le .value manquant est present dans le code actuel (grep confirme, OrigamDataTableHeadersCellMobile.vue:267), le select-all mobile fonctionne desormais. C4 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (anomalie de classeur), et le fichier est absent de la baseline setup-reads -- flip par prudence documentee, a recontroler si un signal contraire apparait.
L81	OrigamDataTableHeadersCellMobile	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L94	OrigamDivider	C2	defaut	conforme	"C2 defaut -> conforme : border-style est cable en var(--origam-divider---border-style, solid) (verifie grep), la cellule etait ""a RE-MESURER"" depuis la reconciliation du 09-10 (verdict formule sur le pipeline Style Dictionary supprime) -- re-mesure sur les feuilles CSS/SCSS actuelles : conforme. C6 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (contredit par la propre section ""COMPORTEMENT CONFORME"" de la meme ligne) ; mesure directe : <hr> natif, role/aria-orientation dynamiques corrects -- anomalie de classeur, flip documente. C7 defaut -> conforme : la doc listait 7 tokens vivants depuis #550 (4573f9c1, 05/09) comme morts -- doc en retard sur le code, pas le contraire ; corrigee ligne a ligne (93804e01)."
L94	OrigamDivider	C6	defaut	conforme	"C2 defaut -> conforme : border-style est cable en var(--origam-divider---border-style, solid) (verifie grep), la cellule etait ""a RE-MESURER"" depuis la reconciliation du 09-10 (verdict formule sur le pipeline Style Dictionary supprime) -- re-mesure sur les feuilles CSS/SCSS actuelles : conforme. C6 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (contredit par la propre section ""COMPORTEMENT CONFORME"" de la meme ligne) ; mesure directe : <hr> natif, role/aria-orientation dynamiques corrects -- anomalie de classeur, flip documente. C7 defaut -> conforme : la doc listait 7 tokens vivants depuis #550 (4573f9c1, 05/09) comme morts -- doc en retard sur le code, pas le contraire ; corrigee ligne a ligne (93804e01)."
L94	OrigamDivider	C7	defaut	conforme	"C2 defaut -> conforme : border-style est cable en var(--origam-divider---border-style, solid) (verifie grep), la cellule etait ""a RE-MESURER"" depuis la reconciliation du 09-10 (verdict formule sur le pipeline Style Dictionary supprime) -- re-mesure sur les feuilles CSS/SCSS actuelles : conforme. C6 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (contredit par la propre section ""COMPORTEMENT CONFORME"" de la meme ligne) ; mesure directe : <hr> natif, role/aria-orientation dynamiques corrects -- anomalie de classeur, flip documente. C7 defaut -> conforme : la doc listait 7 tokens vivants depuis #550 (4573f9c1, 05/09) comme morts -- doc en retard sur le code, pas le contraire ; corrigee ligne a ligne (93804e01)."
L94	OrigamDivider	Gravite	majeur	aucun	"C2 defaut -> conforme : border-style est cable en var(--origam-divider---border-style, solid) (verifie grep), la cellule etait ""a RE-MESURER"" depuis la reconciliation du 09-10 (verdict formule sur le pipeline Style Dictionary supprime) -- re-mesure sur les feuilles CSS/SCSS actuelles : conforme. C6 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (contredit par la propre section ""COMPORTEMENT CONFORME"" de la meme ligne) ; mesure directe : <hr> natif, role/aria-orientation dynamiques corrects -- anomalie de classeur, flip documente. C7 defaut -> conforme : la doc listait 7 tokens vivants depuis #550 (4573f9c1, 05/09) comme morts -- doc en retard sur le code, pas le contraire ; corrigee ligne a ligne (93804e01)."
L94	OrigamDivider	Ticket	#372 (a mettre a jour), #419	#372 (a mettre a jour), #419 ; CORRIGE C2 (4573f9c1 05/09), C7 (93804e01 10/09) — #372, #419	"C2 defaut -> conforme : border-style est cable en var(--origam-divider---border-style, solid) (verifie grep), la cellule etait ""a RE-MESURER"" depuis la reconciliation du 09-10 (verdict formule sur le pipeline Style Dictionary supprime) -- re-mesure sur les feuilles CSS/SCSS actuelles : conforme. C6 defaut -> conforme : aucune justification retrouvee dans Notes/Preuve pour ce defaut (contredit par la propre section ""COMPORTEMENT CONFORME"" de la meme ligne) ; mesure directe : <hr> natif, role/aria-orientation dynamiques corrects -- anomalie de classeur, flip documente. C7 defaut -> conforme : la doc listait 7 tokens vivants depuis #550 (4573f9c1, 05/09) comme morts -- doc en retard sur le code, pas le contraire ; corrigee ligne a ligne (93804e01)."
L94	OrigamDivider	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L217	OrigamWindow	C3	defaut	conforme	C3/C4 defaut -> conforme : prevProps/nextProps sont desormais des computed() (OrigamWindow.vue:236,250 -- fix d723143e, #473, FERME depuis le 28/08, AVANT la mesure du classeur du 09-01). ⛔ Un ticket ferme depuis 2 semaines n'avait jamais ete reporte au classeur. Bonus hors-classeur trouve le meme jour (5d5a3440) : la story codait border/borderRadius EN DUR sur l'element pilote par ses propres controles Border/Rounded -- un C1 sur la story elle-meme, jamais passe par 'defaut' au classeur car le composant sous-jacent est sain. #474 (live-region carousel) egalement ferme (01/09) et verifie en code (role=status + aria-live=polite + delimiter cable).
L217	OrigamWindow	C4	defaut	conforme	C3/C4 defaut -> conforme : prevProps/nextProps sont desormais des computed() (OrigamWindow.vue:236,250 -- fix d723143e, #473, FERME depuis le 28/08, AVANT la mesure du classeur du 09-01). ⛔ Un ticket ferme depuis 2 semaines n'avait jamais ete reporte au classeur. Bonus hors-classeur trouve le meme jour (5d5a3440) : la story codait border/borderRadius EN DUR sur l'element pilote par ses propres controles Border/Rounded -- un C1 sur la story elle-meme, jamais passe par 'defaut' au classeur car le composant sous-jacent est sain. #474 (live-region carousel) egalement ferme (01/09) et verifie en code (role=status + aria-live=polite + delimiter cable).
L217	OrigamWindow	Gravite	majeur	aucun	C3/C4 defaut -> conforme : prevProps/nextProps sont desormais des computed() (OrigamWindow.vue:236,250 -- fix d723143e, #473, FERME depuis le 28/08, AVANT la mesure du classeur du 09-01). ⛔ Un ticket ferme depuis 2 semaines n'avait jamais ete reporte au classeur. Bonus hors-classeur trouve le meme jour (5d5a3440) : la story codait border/borderRadius EN DUR sur l'element pilote par ses propres controles Border/Rounded -- un C1 sur la story elle-meme, jamais passe par 'defaut' au classeur car le composant sous-jacent est sain. #474 (live-region carousel) egalement ferme (01/09) et verifie en code (role=status + aria-live=polite + delimiter cable).
L217	OrigamWindow	Ticket	#473 (prevIcon/nextIcon), #474 (live-region carousel)	#473 (prevIcon/nextIcon), #474 (live-region carousel) ; FERME #473 (28/08, d723143e) — deja ferme, classeur pas mis a jour	C3/C4 defaut -> conforme : prevProps/nextProps sont desormais des computed() (OrigamWindow.vue:236,250 -- fix d723143e, #473, FERME depuis le 28/08, AVANT la mesure du classeur du 09-01). ⛔ Un ticket ferme depuis 2 semaines n'avait jamais ete reporte au classeur. Bonus hors-classeur trouve le meme jour (5d5a3440) : la story codait border/borderRadius EN DUR sur l'element pilote par ses propres controles Border/Rounded -- un C1 sur la story elle-meme, jamais passe par 'defaut' au classeur car le composant sous-jacent est sain. #474 (live-region carousel) egalement ferme (01/09) et verifie en code (role=status + aria-live=polite + delimiter cable).
L217	OrigamWindow	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L124	OrigamKbd	C2	defaut	conforme	C2 defaut -> conforme : 5 tokens de variante (--outlined/__filled/__tonal x background-color/border-width) desormais lus, 2 border-width:0 en dur remplaces par le token adequat. Verifie grep sur le SCSS actuel.
L124	OrigamKbd	Gravite	majeur	aucun	C2 defaut -> conforme : 5 tokens de variante (--outlined/__filled/__tonal x background-color/border-width) desormais lus, 2 border-width:0 en dur remplaces par le token adequat. Verifie grep sur le SCSS actuel.
L124	OrigamKbd	Ticket	#436 (C2: 6 tokens d'etat filled/outlined/tonal.background-color/border-width jamais lus par le SCSS, valeurs dupliquees en dur dans les regles --variant-*)	#436 (C2: 6 tokens d'etat filled/outlined/tonal.background-color/border-width jamais lus par le SCSS, valeurs dupliquees en dur dans les regles --variant-*) ; CORRIGE (PR #637, 10/09)	C2 defaut -> conforme : 5 tokens de variante (--outlined/__filled/__tonal x background-color/border-width) desormais lus, 2 border-width:0 en dur remplaces par le token adequat. Verifie grep sur le SCSS actuel.
L124	OrigamKbd	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L96	OrigamEmptyState	C2	defaut	conforme	C2 defaut -> conforme : --origam-empty-state__icon---margin-bottom desormais lu (verifie grep, OrigamEmptyState.vue:208).
L96	OrigamEmptyState	Gravite	majeur	aucun	C2 defaut -> conforme : --origam-empty-state__icon---margin-bottom desormais lu (verifie grep, OrigamEmptyState.vue:208).
L96	OrigamEmptyState	Ticket	#389	#389 ; CORRIGE (PR #637, 10/09) — #389	C2 defaut -> conforme : --origam-empty-state__icon---margin-bottom desormais lu (verifie grep, OrigamEmptyState.vue:208).
L96	OrigamEmptyState	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L109	OrigamContainer	C2	defaut	conforme	C2 defaut -> conforme : tokens renommes avec le suffixe -start/-end que le composant lit reellement (padding-inline-start/end, margin-inline-start/end), valeurs inchangees. Verifie grep.
L109	OrigamContainer	Gravite	majeur	aucun	C2 defaut -> conforme : tokens renommes avec le suffixe -start/-end que le composant lit reellement (padding-inline-start/end, margin-inline-start/end), valeurs inchangees. Verifie grep.
L109	OrigamContainer	Ticket	#417	#417 ; CORRIGE (PR #637, 10/09) — #417	C2 defaut -> conforme : tokens renommes avec le suffixe -start/-end que le composant lit reellement (padding-inline-start/end, margin-inline-start/end), valeurs inchangees. Verifie grep.
L109	OrigamContainer	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L111	OrigamSpacer	C2	defaut	conforme	C2 defaut -> conforme : --origam-spacer---min-size desormais cable sur min-width ET min-height (verifie grep, OrigamSpacer.vue:82-83).
L111	OrigamSpacer	Gravite	majeur	aucun	C2 defaut -> conforme : --origam-spacer---min-size desormais cable sur min-width ET min-height (verifie grep, OrigamSpacer.vue:82-83).
L111	OrigamSpacer	Ticket	#417	#417 ; CORRIGE (PR #637, 10/09) — #417	C2 defaut -> conforme : --origam-spacer---min-size desormais cable sur min-width ET min-height (verifie grep, OrigamSpacer.vue:82-83).
L111	OrigamSpacer	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L22	OrigamCalendar	C2	defaut	conforme	"C2 defaut -> conforme (RE-MESURE, la cellule etait marquee ""a RE-MESURER"" depuis le 09-10 car le verdict citait $themes.json/Style Dictionary, supprimes le 08-31) : bg-color-hover, gap/padding et timeline---slot-height desormais lus (verifie grep sur OrigamCalendar.vue). C4 defaut -> conforme : internalView/internalDate utilisent le motif UNSEEDED + watch + computed paresseux (commentaire explicite ""mirrors #448/#487"", OrigamCalendar.vue:495-517), plus de lecture eager. Restent defaut : C6 (cellules focusables sans navigation clavier jour-a-jour) et C7 (doc ARIA tablist/tab abandonne) -- non touches par ce lot, gravite ramenee a majeur (2 defauts restants au lieu de 4)."
L22	OrigamCalendar	C4	defaut	conforme	"C2 defaut -> conforme (RE-MESURE, la cellule etait marquee ""a RE-MESURER"" depuis le 09-10 car le verdict citait $themes.json/Style Dictionary, supprimes le 08-31) : bg-color-hover, gap/padding et timeline---slot-height desormais lus (verifie grep sur OrigamCalendar.vue). C4 defaut -> conforme : internalView/internalDate utilisent le motif UNSEEDED + watch + computed paresseux (commentaire explicite ""mirrors #448/#487"", OrigamCalendar.vue:495-517), plus de lecture eager. Restent defaut : C6 (cellules focusables sans navigation clavier jour-a-jour) et C7 (doc ARIA tablist/tab abandonne) -- non touches par ce lot, gravite ramenee a majeur (2 defauts restants au lieu de 4)."
L22	OrigamCalendar	Ticket	#389, #390	#389, #390 ; CORRIGE C2 (PR #637), C4 (PR #637, mirrors #448/#487) 10/09 — #389, #390	"C2 defaut -> conforme (RE-MESURE, la cellule etait marquee ""a RE-MESURER"" depuis le 09-10 car le verdict citait $themes.json/Style Dictionary, supprimes le 08-31) : bg-color-hover, gap/padding et timeline---slot-height desormais lus (verifie grep sur OrigamCalendar.vue). C4 defaut -> conforme : internalView/internalDate utilisent le motif UNSEEDED + watch + computed paresseux (commentaire explicite ""mirrors #448/#487"", OrigamCalendar.vue:495-517), plus de lecture eager. Restent defaut : C6 (cellules focusables sans navigation clavier jour-a-jour) et C7 (doc ARIA tablist/tab abandonne) -- non touches par ce lot, gravite ramenee a majeur (2 defauts restants au lieu de 4)."
L22	OrigamCalendar	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L108	OrigamCol	C2	defaut	conforme	C2 defaut -> conforme : 0 violation dead/dormant mesuree, tous les var() sont proprement declares et lus (verifie grep exhaustif sur OrigamCol.vue). Reste C7 defaut (non touche par ce lot), gravite inchangee (majeur, 1 defaut restant).
L108	OrigamCol	Ticket	#417	#417 ; C2 CORRIGE — verdict faux positif (PR #637) — #417	C2 defaut -> conforme : 0 violation dead/dormant mesuree, tous les var() sont proprement declares et lus (verifie grep exhaustif sur OrigamCol.vue). Reste C7 defaut (non touche par ce lot), gravite inchangee (majeur, 1 defaut restant).
L108	OrigamCol	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L149	OrigamParallaxElement	C2	defaut	conforme	"C2 defaut -> conforme : 0 emit declare (C5 sans objet, pas un defaut), aucune prop pour aspect-ratio/translate-multiplier (fonctionnalite manquante, pas un defaut C2). Verdict etait un faux positif. ⛔ DEFAUT HORS CLASSEUR TROUVE ET CORRIGE LE MEME JOUR, JAMAIS PASSE PAR 'defaut' ICI : easing=""spring"" produisait transition-timing-function: spring (CSS invalide, ignore silencieusement) -- corrige en resolvant vers var(--origam-parallax---transition-easing-spring, cubic-bezier(...)) (verifie grep, OrigamParallaxElement.vue:117-119). Aucun ticket ne couvrait ce point precis -- ticket a ouvrir pour tracabilite malgre la correction deja livree. Reste C7 defaut (non touche), gravite inchangee."
L149	OrigamParallaxElement	Ticket	#436	#436 ; C2 CORRIGE — verdict faux positif (PR #637) ; hors-classeur easing=spring corrige, voir ticket a ouvrir — #436	"C2 defaut -> conforme : 0 emit declare (C5 sans objet, pas un defaut), aucune prop pour aspect-ratio/translate-multiplier (fonctionnalite manquante, pas un defaut C2). Verdict etait un faux positif. ⛔ DEFAUT HORS CLASSEUR TROUVE ET CORRIGE LE MEME JOUR, JAMAIS PASSE PAR 'defaut' ICI : easing=""spring"" produisait transition-timing-function: spring (CSS invalide, ignore silencieusement) -- corrige en resolvant vers var(--origam-parallax---transition-easing-spring, cubic-bezier(...)) (verifie grep, OrigamParallaxElement.vue:117-119). Aucun ticket ne couvrait ce point precis -- ticket a ouvrir pour tracabilite malgre la correction deja livree. Reste C7 defaut (non touche), gravite inchangee."
L149	OrigamParallaxElement	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L60	OrigamCode	C8	defaut	conforme	"C8 defaut -> conforme : le detecteur canonique inspection-harness.mjs trouve 0 occurrence de chaine en dur, les 7 cles origam.code.* existent en en ET fr (verifie grep, OrigamCode.vue utilise systematiquement t('origam.code.*')). ⛔ C2 RESTE DEFAUT, PAS DE SUPPRESSION DE TOKENS : contrairement a ce qu'un resume de campagne affirmait (""les 12 tokens morts supprimes""), le corps de la PR #637 dit EXPLICITEMENT que c'est un ARBITRAGE NON TRANCHE, remonte sans etre resolu -- shiki v4.3.1 n'expose plus de theme css-variables, les 12 --origam-code__syntax---* sont correctement nommes mais inatteignables. Deux options : reconstruire un theme shiki par marque, ou supprimer les 12 tokens. ARBITRAGE A REMONTER A L'UTILISATEUR, rien n'a ete supprime dans le code."
L60	OrigamCode	Ticket	#399	#399 ; C8 CORRIGE — faux positif (PR #637) ; C2 ARBITRAGE NON TRANCHE — #399	"C8 defaut -> conforme : le detecteur canonique inspection-harness.mjs trouve 0 occurrence de chaine en dur, les 7 cles origam.code.* existent en en ET fr (verifie grep, OrigamCode.vue utilise systematiquement t('origam.code.*')). ⛔ C2 RESTE DEFAUT, PAS DE SUPPRESSION DE TOKENS : contrairement a ce qu'un resume de campagne affirmait (""les 12 tokens morts supprimes""), le corps de la PR #637 dit EXPLICITEMENT que c'est un ARBITRAGE NON TRANCHE, remonte sans etre resolu -- shiki v4.3.1 n'expose plus de theme css-variables, les 12 --origam-code__syntax---* sont correctement nommes mais inatteignables. Deux options : reconstruire un theme shiki par marque, ou supprimer les 12 tokens. ARBITRAGE A REMONTER A L'UTILISATEUR, rien n'a ete supprime dans le code."
L60	OrigamCode	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L84	OrigamDatePicker	C1	defaut	conforme	C1 defaut -> conforme : header structurellement inatteignable + clic mort, corrige 3be52775 (29/08, ANTERIEUR a la mesure du 09-01) -- verdict perime. Reste C4 defaut (non touche par ce lot) et C7 defaut (story a un Variant Slots-Header et un controle Hide Header mais date-picker.spec.ts ne teste jamais 'header' -- confirme non traite), gravite inchangee (majeur).
L84	OrigamDatePicker	Ticket	#410	#410 ; C1 CORRIGE (3be52775 29/08) — #410	C1 defaut -> conforme : header structurellement inatteignable + clic mort, corrige 3be52775 (29/08, ANTERIEUR a la mesure du 09-01) -- verdict perime. Reste C4 defaut (non touche par ce lot) et C7 defaut (story a un Variant Slots-Header et un controle Hide Header mais date-picker.spec.ts ne teste jamais 'header' -- confirme non traite), gravite inchangee (majeur).
L84	OrigamDatePicker	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L86	OrigamDatePickerHeader	C1	defaut	conforme	C1 defaut -> conforme (3be52775) et C3 defaut -> conforme (meme cause racine, meme SHA + 4654c7e8 pour color) : verifie via history git, les deux commits sont anterieurs a la mesure du 09-01 -- verdicts perimes.
L86	OrigamDatePickerHeader	C3	defaut	conforme	C1 defaut -> conforme (3be52775) et C3 defaut -> conforme (meme cause racine, meme SHA + 4654c7e8 pour color) : verifie via history git, les deux commits sont anterieurs a la mesure du 09-01 -- verdicts perimes.
L86	OrigamDatePickerHeader	Gravite	majeur	aucun	C1 defaut -> conforme (3be52775) et C3 defaut -> conforme (meme cause racine, meme SHA + 4654c7e8 pour color) : verifie via history git, les deux commits sont anterieurs a la mesure du 09-01 -- verdicts perimes.
L86	OrigamDatePickerHeader	Ticket	#410	#410 ; CORRIGE (3be52775 29/08 + 4654c7e8 07/09) — #410	C1 defaut -> conforme (3be52775) et C3 defaut -> conforme (meme cause racine, meme SHA + 4654c7e8 pour color) : verifie via history git, les deux commits sont anterieurs a la mesure du 09-01 -- verdicts perimes.
L86	OrigamDatePickerHeader	Notes	(voir texte precedent)	(annexe RECONCILIATION 2026-09-11)	annexe complete en colonne Notes du CSV (texte trop long pour cette colonne)
L87	OrigamDatePickerMonth	C1	defaut	conforme	C1 defaut -> conforme (id atteint la racine, 4022932d ; couleurs en dur, 4654c7e8) et C2 defaut -> conforme (3 tokens cables/41 supprimes, cee129ba) : tous anterieurs a la mesure du 09-01 -- verdicts perimes.
L87	OrigamDatePickerMonth	C2	defaut	conforme	C1 defaut -> conforme (id atteint la racine, 4022932d ; couleurs en dur, 4654c7e8) et C2 defaut -> conforme (3 tokens cables/41 supprimes, cee129ba) : tous anterieurs a la mesure du 09-01 -- verdicts perimes.
L87	OrigamDatePickerMonth	Gravite	majeur	aucun	C1 defaut -> conforme (id atteint la racine, 4022932d ; couleurs en dur, 4654c7e8) et C2 defaut -> conforme (3 tokens cables/41 supprimes, cee129ba) : tous anterieurs a la mesure du 09-01 -- verdicts perimes.
